symbol,time,close,volume,vnindex
ACB,2017-01-03,3.33,1609757,672.01
ACB,2017-01-04,3.35,739000,674.7
ACB,2017-01-05,3.35,471881,675.81
ACB,2017-01-06,3.53,1409824,679.8
ACB,2017-01-09,3.65,970791,682.57
ACB,2017-01-10,3.69,942499,681.07
ACB,2017-01-11,3.79,1447461,687.16
ACB,2017-01-12,3.79,1158392,686.96
ACB,2017-01-13,3.77,1230784,685.06
ACB,2017-01-16,3.83,575469,677.94
ACB,2017-01-17,4.04,1398174,684.71
ACB,2017-01-18,4.05,1360520,683.28
ACB,2017-01-19,4.04,542576,682.31
ACB,2017-01-20,4.05,614473,686.26
ACB,2017-01-23,4.02,867359,687.15
ACB,2017-01-24,4.12,722901,691.36
ACB,2017-01-25,4.14,437171,697.28
ACB,2017-02-02,4.18,693910,703.18
ACB,2017-02-03,4.25,1124649,700.35
ACB,2017-02-06,4.14,1767267,700.04
ACB,2017-02-07,4.16,820988,701.91
ACB,2017-02-08,4.16,627023,702.04
ACB,2017-02-09,4.16,480866,700.65
ACB,2017-02-10,4.19,2354611,703.78
ACB,2017-02-13,4.12,1102014,705.9
ACB,2017-02-14,4.12,630201,706.26
ACB,2017-02-15,4.09,1719050,711.57
ACB,2017-02-16,3.98,1657991,709.35
ACB,2017-02-17,3.98,886909,707.83
ACB,2017-02-20,3.98,1208009,710.59
ACB,2017-02-21,3.98,992334,716.55
ACB,2017-02-22,3.97,890701,717.24
ACB,2017-02-23,3.97,599354,716.87
ACB,2017-02-24,3.98,2041146,714.47
ACB,2017-02-27,4.02,652055,717.44
ACB,2017-02-28,4.02,493768,710.79
ACB,2017-03-01,3.97,947826,709.52
ACB,2017-03-02,3.95,356057,707.51
ACB,2017-03-03,4.0,658085,712.62
ACB,2017-03-06,3.97,767074,716.29
ACB,2017-03-07,3.95,342874,716.54
ACB,2017-03-08,4.09,3300268,716.6
ACB,2017-03-09,4.11,2499511,715.8
ACB,2017-03-10,4.16,3996520,712.21
ACB,2017-03-13,4.02,3149747,710.17
ACB,2017-03-14,4.0,1043292,714.71
ACB,2017-03-15,4.05,1841218,713.14
ACB,2017-03-16,4.07,1849057,714.92
ACB,2017-03-17,4.11,5329369,710.54
ACB,2017-03-20,4.19,5125254,715.07
ACB,2017-03-21,4.39,10618307,716.18
ACB,2017-03-22,4.39,4597625,712.94
ACB,2017-03-23,4.37,3086794,719.56
ACB,2017-03-24,4.48,7262960,722.14
ACB,2017-03-27,4.42,4647682,723.52
ACB,2017-03-28,4.33,3883267,719.26
ACB,2017-03-29,4.32,4693967,720.47
ACB,2017-03-30,4.33,2636139,723.86
ACB,2017-03-31,4.3,2374460,722.31
ACB,2017-04-03,4.39,4561999,722.38
ACB,2017-04-04,4.44,4282474,724.14
ACB,2017-04-05,4.42,2922560,723.22
ACB,2017-04-07,4.35,2654414,727.95
ACB,2017-04-10,4.28,4172644,729.87
ACB,2017-04-11,4.16,3447528,731.33
ACB,2017-04-12,4.05,4187963,725.58
ACB,2017-04-13,4.04,1942706,724.35
ACB,2017-04-14,4.02,2869490,718.45
ACB,2017-04-17,3.95,1791452,710.83
ACB,2017-04-18,4.02,1966220,714.93
ACB,2017-04-19,3.98,904604,716.77
ACB,2017-04-20,3.98,1029547,712.66
ACB,2017-04-21,3.98,1166146,712.41
ACB,2017-04-24,3.95,1041557,709.39
ACB,2017-04-25,3.88,1796943,707.58
ACB,2017-04-26,3.98,1183165,710.04
ACB,2017-04-27,3.98,867590,716.53
ACB,2017-04-28,4.07,3189572,717.73
ACB,2017-05-03,4.18,2622355,719.54
ACB,2017-05-04,4.18,1511935,722.02
ACB,2017-05-05,4.12,1540483,720.0
ACB,2017-05-08,4.05,1334252,718.86
ACB,2017-05-09,4.16,1873308,722.11
ACB,2017-05-10,4.16,1722684,724.31
ACB,2017-05-11,4.11,1225352,724.99
ACB,2017-05-12,4.14,1408743,725.37
ACB,2017-05-15,4.12,1557823,725.35
ACB,2017-05-16,4.19,4063912,725.03
ACB,2017-05-17,4.28,2463380,727.2
ACB,2017-05-18,4.3,4440070,726.99
ACB,2017-05-19,4.33,3380097,733.82
ACB,2017-05-22,4.4,8110171,744.1
ACB,2017-05-23,4.3,3154806,740.93
ACB,2017-05-24,4.42,2741337,742.74
ACB,2017-05-25,4.4,4482961,741.91
ACB,2017-05-26,4.39,1931186,743.41
ACB,2017-05-29,4.4,2434669,746.25
ACB,2017-05-30,4.39,3271836,738.21
ACB,2017-05-31,4.39,1808309,737.82
ACB,2017-06-01,4.35,2213300,741.8
ACB,2017-06-02,4.33,2357600,738.81
ACB,2017-06-05,4.35,2071223,743.49
ACB,2017-06-06,4.44,2786052,751.31
ACB,2017-06-07,4.63,9677631,753.46
ACB,2017-06-08,4.58,1793086,750.13
ACB,2017-06-09,4.6,1633448,749.72
ACB,2017-06-12,4.56,2711450,751.09
ACB,2017-06-13,4.65,2560207,756.89
ACB,2017-06-14,4.69,2095019,760.77
ACB,2017-06-15,4.63,2027588,760.57
ACB,2017-06-16,4.63,1073742,761.24
ACB,2017-06-19,4.67,2509473,766.83
ACB,2017-06-20,4.7,2009016,767.99
ACB,2017-06-21,4.62,3907011,767.41
ACB,2017-06-22,4.58,1990597,766.3
ACB,2017-06-23,4.51,2881921,769.01
ACB,2017-06-26,4.58,1201089,772.52
ACB,2017-06-27,4.55,681015,767.51
ACB,2017-06-28,4.53,861040,769.04
ACB,2017-06-29,4.56,928253,771.75
ACB,2017-06-30,4.55,663360,776.47
ACB,2017-07-03,4.63,2832824,778.88
ACB,2017-07-04,4.6,913620,775.54
ACB,2017-07-05,4.65,1489515,778.32
ACB,2017-07-06,4.65,1436039,782.65
ACB,2017-07-07,4.65,2656919,775.73
ACB,2017-07-10,4.55,2657063,766.56
ACB,2017-07-11,4.55,1562679,769.36
ACB,2017-07-12,4.55,1160871,774.17
ACB,2017-07-13,4.55,734955,778.3
ACB,2017-07-14,4.53,366894,777.6
ACB,2017-07-17,4.37,3160757,768.91
ACB,2017-07-18,4.4,2229835,767.49
ACB,2017-07-19,4.4,584611,771.3
ACB,2017-07-20,4.42,731184,768.41
ACB,2017-07-21,4.39,357297,761.86
ACB,2017-07-24,4.33,1117565,759.74
ACB,2017-07-25,4.4,808354,767.27
ACB,2017-07-26,4.49,651186,773.88
ACB,2017-07-27,4.46,581124,771.5
ACB,2017-07-28,4.53,718964,777.09
ACB,2017-07-31,4.56,1567378,783.55
